Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Черный Пистолет 😎,3 марта 2025,"Отличный сервис, чистые номера, удобное расположение, вежливый персонал, радует что сотрудники принимают меры для создания приятного отдыха 👍👍👍👍",5,А & G,4.9,563
Асель Бахтиярова,"26 февраля 2025, отредактирован","Останавливались пару раз ,расположение хорошее . Соседей слышно ,администратор хорошая ,чисто уютно .",4,А & G,4.9,563
Айбек Н,25 февраля 2025,Жақсы екен,5,А & G,4.9,563
Abay Arystangaliyev,"17 февраля 2025, отредактирован","Хороший сервис, приветливый персонал. Все отлично понравилось, гостям понравилось. Приезжали туристы из Европы, по работе. Остались довольны.тихо спокойно все что нужно)",5,А & G,4.9,563
Айзада Алмас,8 февраля 2025,Хороший отель. Номер чистый. Вежливый персонал. Местоположение отличное.,5,А & G,4.9,563
Titan Titanov,"29 января 2025, отредактирован","Ужаснейший сервис.
Бронировал стандартный номер за неделю до планируемой даты, так как собирался в командировку в Алматы. Заплатил за одни сутки 20к (попросили предоплату для брони), собирался остановиться на два дня.
По приезду мне сказали, что мой номер был уже сдан на 10 дней вперед, из свободных только номер за 30к в сутки. И то он завтра будет занят, так что нужно будет съехать.
Так как у меня лимит по командировочным я отказался и попросил вернуть деньги. Кстати на улице был дождь и я приехал на такси в этот отель почти за 5к. Но и с возвращением денег у них были проблемы, просили меня отменить перевод и мол потом мне должно поступить. В итоге только после разговора с их начальником мне перевели деньги назад. И то, преподнесли это так, мол я не хочу жить в другом номере за 30к, а не как «мы накосячили»
Я понимаю, человеческий фактор, что-то забыть или невнимательно посмотреть, но в данном случае нулевое содействие и инициатива по исправлению ситуации как со стороны сотрудников, так и со стороны их «Бастыка». У них есть филиалы в городе, могли хотя бы с ними созвониться и предложить какой-то вариант, но увы.
Вторая сотрудница кажется была еще и возмущена, тем что я стою и не ухожу без своих денег из отеля, постоянно из каморки кричала «пусть сначала покажет чек».
Вообщем, от всей души не советую.
Я максимально не конфликтный человек и это мой первый отзыв, но тут я не могу сдержаться.",1,А & G,4.9,563
AMINA SHAKYAROVA,21 января 2025,"Спасибо большое, чисто комфортно уютно 🥰🥰🥰 спасибо Айгуль 😊",5,А & G,4.9,563
Nurlan Ikhsan,20 января 2025,"Ресепшен приветливый, взяли комнату комфорт, все чисто, понравился",5,А & G,4.9,563
Икрам Абдыкалыков,20 января 2025,Отель хороший. Женщина в 1 филиале помогла найти подходящий на заднем дворе. Спасибо ей,4,А & G,4.9,563
Городская легенда,"20 января 2025, отредактирован","Отличное местоположение. Приехали под утро, администратор Назгюль была очень вежливая, быстро оформила нас и разместила в чистый, уютный номер. В номере есть всё для отдыха. Мы довольны, вернёмся ещё однозначно.",5,А & G,4.9,563
Городская легенда,19 января 2025,"Местоположение отеля отличное. Приехали из другого города. Остановливались с мамой в номере стандарт. Номер чистый, аккуратный. Нам очень понравилось. Метро, вокзал рядом. Много кафе, где можно вкусно поесть. Администратор Назгуль очень общительная, порядочная. Спасибо ей большое. Если будем в Алматы, то только Апарт-отель A&G",5,А & G,4.9,563
Ерсултан Касенов,"17 декабря 2024, отредактирован",Хорошый отель,5,А & G,4.9,563
Оксана Касымова,7 декабря 2024,Место классное рекомендую всем спасибо за комфортные условия,5,А & G,4.9,563
Айымжан Мадибекова,3 декабря 2024,"Все очень понравилось, цена соответствует качеству условий. В номере есть всё для комфортного проживания🌿",5,А & G,4.9,563
Елена Белькова,3 декабря 2024,"Очень чисто, уютно. Доброжелательный персонал",5,А & G,4.9,563
Asema Arrin,3 декабря 2024,"Нормальный апарт отель, номера конечно неожиданные как комната, но в общем ничего.
Аккуратно, чисто, тихо, уютно. Я бы остановилась там еще",5,А & G,4.9,563
Алуа Билалова,1 декабря 2024,"Хорошие апартаменты, чисто, удобно, комфортно. Отличное место для работы и отдыха",5,А & G,4.9,563
Alema Tasova,1 декабря 2024,"Спасибо за замечательный приём в А & G. Администратор Камшат быстро оформила, чётко и ясно всё объяснила.",5,А & G,4.9,563
Саида Имашева,1 декабря 2024,"Очень остались довольны апартаментами. Жили неделю с дочкой. Есть все необходимое как в номере, так и поблизости.",5,А & G,4.9,563
Zhanara Talgatkizi,29 ноября 2024,"Хорошие Апартаменты. Чисто, тепло, уютно. Всё необходимое есть.",5,А & G,4.9,563
Дана Тулегенова,29 ноября 2024,"Заселение 5
Чистота 5
Техподдерка в васапе 5",5,А & G,4.9,563
Динара Елубаева,29 ноября 2024,"Все очень комфортно и уютно, ездила по работе и выбор сделала на эти апартаменты не разу не пожалела. Спасибо выберу вас ещё раз однозначно🤗",5,А & G,4.9,563
Танюша Майорова,"26 ноября 2024, отредактирован",Жили с супругом 1.5 месяца. Все понравилось. Апартаменты с твердой пятеркой. Обслуживание на отлично. Все рекомендую. 👍,5,А & G,4.9,563
Аяулым Омашева,26 ноября 2024,Качественные номера-квартиры. Современный ремонт. Всё чисто и аккуратно.,5,А & G,4.9,563
Ольга Жумабаева,26 ноября 2024,Отличная гостиница. Забронировала быстро. Заселение без недочетов. Персонал дружелюбен.,5,А & G,4.9,563
Алина Бельская,25 ноября 2024,"Отличные апартаменты. Небольшие, для семьи 3 человека вполне достаточно. Есть все необходимое, кондиционер очень спасал так как в номере было тепло.",5,А & G,4.9,563
Мария Семакина,25 ноября 2024,Очень неплохо за свои деньги.,5,А & G,4.9,563
Aiman Zholdas,25 ноября 2024,"Отличные апартаменты! Есть территория для парковки, уютная, очень понравилось!",5,А & G,4.9,563
Makpal Bimurzina,24 ноября 2024,"Чисто удобно уютно ,на просьбу реагируют моментально все очень понравилось.",5,А & G,4.9,563
Мадина Ахметова,24 ноября 2024,"Хороший апарт-отель, в номере чисто, есть всё неоходимое. Вежливый администратор, все вопросы можно решить через Ватсап.",5,А & G,4.9,563
Забира Ринатова,24 ноября 2024,"Очень уютное место! Все для людей. Сотрудники супер позитивные и френдли. Чисто, кровать отличная, техники хватает",5,А & G,4.9,563
Асемай Аскар,1 октября 2024,Отель жаксы унады бізге іші таза тыныш рахмет улкен👍👍,5,А & G,4.9,563
Bauka Bauka,"28 сентября 2024, отредактирован","Спасибо очень отличный сервис, очень чистые номера, тихо и спокойно цены конечно дороговато но своих цен стоит обезательно вернусь сюда и большое спасибо Айнур очень прятная женщина.",5,А & G,4.9,563
Tolegen Zhylkaidar,27 сентября 2024,"Отель в хорошей локации, отличный персонал , номер идеально чистый , очень понравилось, бронь и обслуживание на высшем уровне, советую всем, вернусь сюда ещё!",5,А & G,4.9,563
Надежда Збродова,27 сентября 2024,"Супер , чистота 1 место, тихо, приятно спасибо огромное отель на 5 звёзд 🥰",5,А & G,4.9,563
Анастасия Шеметова,27 сентября 2024,"Отель отличный чистый золотой квадрат, чистый номер вкусное завтраки, спасибо большое, советую всем,,,",5,А & G,4.9,563
Akbota Eshetai,27 сентября 2024,"Отель прекрасная, завтрак обалденная👍
Золотой квадрат😊",5,А & G,4.9,563
Ирада Гусейнова,27 сентября 2024,Апартамент очень хороший все понравилось,5,А & G,4.9,563
Акмарал Иткарина,15 сентября 2024,"Отличная,уютная гостиница.
Вежливый персонал.
В номерах новый ремонт, чисто.
Есть всë необходимое.",5,А & G,4.9,563
Ксения Сираева,15 сентября 2024,"Довелось воспользоваться услугами апартаменты. Очень понравилось. Однозначно рекомендую!!! Чисто, уютно, все новое. Приветливый и вежливый персонал.",5,А & G,4.9,563
Кымбат Медиева,15 сентября 2024,"Нужно было срочно снять номер. Позвонили, договорились. Все понравилось, заселение быстро, номер чистый, все удобства. Цена отличная!",5,А & G,4.9,563
Гульжан Калиевна,9 сентября 2024,"Уютные апартаменты в тихом районе. Все для комфортного проживания уже есть в квартире, можно ничего с собой не брать. Проживание на высшем уровне",5,А & G,4.9,563
Zhibek Serikbolkyzy,9 сентября 2024,"Комфортные апартаменты в тихом районе, при этом недалеко от остановки. Очень удобно было добираться в любую точку города. Проживанием очень довольна",5,А & G,4.9,563
Marina Lee,9 сентября 2024,"Останавливались на одну ночь в этих апартаментах и были приятно удивлены уровнем комфорта. Все для проживания там есть, мебель удобная и красивая. Заселение происходит без каких либо проблем, сервисом осталась довольна",5,А & G,4.9,563
Альбина Финько,8 сентября 2024,"Отличные апартаменты. Небольшие, для семьи 2 человека вполне достаточно. Есть все необходимое, кондиционер очень спасал в жару.",5,А & G,4.9,563
Не указано,23 ноября 2020,"Быть мной очень сложно. Я крайне капризная и привыкшая к комфорту барышня. Я редко выхожу из зоны своего комфорта – из дома. Для меня очень сложно, честно говоря, невыносимо оставаться на ночь где-то вне дома. Но бывают моменты, когда приходится улетать по делам в чужой город и искать в нём место для временного проживания. Несколько недель назад я собралась на тренинги в Алматы, начала мониторить гостиницы поблизости с местом обучения. И случайно наткнулась на гостиницу «7 days», позвонила, мне приятно ответили на вопросы и даже предложили скидку. Сегодня я приехала в данный отель. Девушка на ресепшн, администратор Айгуль, гостеприимно приветствовала меня, предложила мне все возможные варианты номеров. Ее помощница Айым сопроводила меня и показала варианты. Поселили они меня в большой номер, сделали скидку. К сожалению, номер оказался прохладным, а я люблю духоту в прямом смысле. Так эти умнички переселили меня в самый жаркий номер. По первому звонку девчата бегут на помощь, улыбаются, располагают к себе. В номерах чисто, белоснежное постельное белье и полотенца, в ванной гели для душа, зубная щетка, паста, тапочки. ОГРОМНЫЙ плюс - наличие лифта, а отдельное приятное удобство - завтрак. Стоимость - 7500 тенге. Вы слышали? - 7500! В нашем мире есть нечто бесценное - это человечность, так вот, девочки сегодняшней смены, спасибо вам за отношение, оно добавляет отелю ещё 2 звезды! Уважаемая администрация, цените свой персонал! 🌸
С уважением, привередливая queen_kruteens.",5,7 days,4.1,524
Аида М,17 апреля 2025,Ужасно грубая девушка на ресепшн,1,7 days,4.1,524
Азамат Шайыхов,6 апреля 2025,"Хорошая гостиница, постели чистые и персонал очень приветливый.",5,7 days,4.1,524
Акмарал Алдонгарова,5 апреля 2025,"Желіде жүктелген суреттер шынайы өмірдегі бөлменің кейпіне сәйкес келмейді, тұтынушылармен мәдениетті түрде сөйлесе алмайды, бөлме өте тар, төсек үсті лас",1,7 days,4.1,524
Anzhela Kudaibergenova,5 апреля 2025,"Бұл хостелге мүлдем риза болмадым. Біріншіден, келер алдында ешқандай ресми келісімшарт жасалмады – бұл үлкен сенімсіздік тудырады. Екіншіден, сайттағы суреттер шындыққа мүлде сәйкес келмейді. Бөлме жағдайы өте нашар, тазалық жоқ, жиһаздар ескі және сынған. Ең сорақысы – хостелдің басқарушысы өте дөрекі, сөйлесу мәдениетінен жұрдай, нағыз хамка. Мұндай алдауға тап болғаныма қатты өкінемін. Ешкімге бұл жерді ұсынбаймын.",1,7 days,4.1,524
Сейдулла Перузханов,26 марта 2025,"-1 этаж ыстық ,сырость бар , 3 этаж норм ұнады жарық",4,7 days,4.1,524
Рейсан Магомедкеримов,25 марта 2025,"В номера запускают работниц коммерческого кекса и их клиентов на почасовую аренду. В номерах некоторых накурено, но за это берут штраф на ресепшене. Берут в залог и фоткают удостоверение личности 🪪, следовательно личные данные могут уйти не туда куда надо.",1,7 days,4.1,524
Тк,"24 марта 2025, отредактирован","Это просто самый ужасный отель!
Вы ставите у себя на ресепшене прейскурант цен, и взымаете деньги при поломке или испорченных вещах, а деньги идут кому то в карман?! Потому что состояние номеров просто запечатать и написать ""на ремонте"", отель это постоянная поддержка номеров в надлежащем виде, вы их не собакам сдаете а людям! Взяли номер люкс за 25000тг просмотрели , увидели некоторые дефекты такие какие оторванная ручка у шкафа, потолок с дырками и при открытых окнах трещащий, но для меня это было не критично, шкафом я все равно не пользовалась, уехала и приехала к вечеру. И тут началось , открываю кран в ванной а он просто держится на ""честном слове"" и его приходилось очень аккуратно открывать чтоб он совсем не отвалился, так как отвечать потом мне за их же косяки.
Двери в душевой не закрываются на замок, его там просто нет, пятна и грязь просто на всех стенах
В душе вся конструкция ходит ходуном, шторки нет, вся вода на полу , при этом дается 2 полотенца , нет полотенца для рук и ног.
Прикрепила фотографии ковриков в ванной , извините но у меня у собак они во дворе чище чем у вас в номере.
И тут самое ужасное, полотенца душевые все в пятнах различных , это просто кошмар , но при этом в прейскуранте штраф за испачканное полотенце 5000тг этого вполне хватает для того чтобы купить новое , но нет нам и так сойдет получается ?!
Когда я на ресепшене спросила администратора и задала вопрос о полотенцах , я услышала такой ответ:
Вы ведь проверяли номер. Простите а полотенца я тоже должна проверять на чистоту?! Вы серьёзно ? Это вашая прямая обязанность предоставлять людям чистоту и порядок в номере! Сан эпидем просто плачет по вам!
Персонал просто никакой, если такой администратор сидит там конечно никогда порядка не будет, кроме хамства и наглости я ничего не услышала
Есть все фотографии , прикрепила их к отзыву
За 25000 в городе полно хороших чистых и с грамотных персоналом отелей, лучше на вот этот ужас не тратить ни своих нервов ни денег.",1,7 days,4.1,524
Самат,17 марта 2025,"Убитый отель, на ресепшне грубая девушка",1,7 days,4.1,524
No Name,"2 марта 2025, отредактирован","Прикольное место, снял номер обычный. Как в корейских или в японских фильмах , маленькие комнаты . Но зимой холодно , не греется. Холодно",4,7 days,4.1,524
Тамара Мирон,"1 марта 2025, отредактирован","Это не отель ,не вздумайте приезжать в этот прит..н",1,7 days,4.1,524
Zhibek Okasova,1 марта 2025,"Гостей тут встречали, хороший комплекс",5,7 days,4.1,524
Айжан ㅤ,1 марта 2025,"Уютный отель.В номерах чисто,отдыхать приятно и комфортно,есть все условия.Завтрак вкусный был.Когда мы заселились там жили дети-спортсмены,выходя в коридор видишь радостных детей и на завтраки дети сидят,так приятно это видеть.Обстоновка,словно одной большой семьёй сняли один большой дом)",5,7 days,4.1,524
Дамир Киреев,16 февраля 2025,"Оплатили за 2 сутки , но по факту освободили в 15:00 через сутки. Возврат не делают. Сервис ужасный. Персонал грубый.",1,7 days,4.1,524
A Сапаргалиева,21 декабря 2024,"21 декабря была на смене которая на ресепшене женщина, (розовым пиджаке) не нормальная,не адекватная, не умеет работать с гостьями, не хочет отвечать на вопрос как будто с стеной разговариваешь…..недовольный лицоны дома оставь карагым…‼️",1,7 days,4.1,524
Неизвестный Неизвестный,14 декабря 2024,"Сдают обычный номер по цене люкс , смена 14 декабря . В комнатах очень холодно , не. Советую посещать данное место .",1,7 days,4.1,524
Gulbarshyn Kylyshbay,18 ноября 2024,"7days қонаүйіне жолайы1 күнге түсіп едім өте қонақжайлы команда екен Өте таза ,тыныш ресепшндегі Динара ,Раушан деген қыздар барлық жағдайымды жасап бақты Алла разы болсын",5,7 days,4.1,524
Айдос Жеткербай,11 октября 2024,"Очень чисто и аккуратно, спасибо Вам!",5,7 days,4.1,524
So So,14 сентября 2024,"Hello, i am from South Korea and i wanted to visit Kazakhstan and although because of my work, i were finding hotels, near my job and i founded this hotel, i didn’t know Russian and Zhansay helped me, but she didn’t know English and she tried, that was kind of her.The rooms are really comfy and it was a little bit hot but its okay for me🇰🇷🤝🇰🇿",5,7 days,4.1,524
Amira Assanova,"14 сентября 2024, отредактирован",все отлично брала люкс номер все красиво жансая лучшая,5,7 days,4.1,524
Алтынбек Арипов,23 августа 2024,Удобное помещение и просторно,5,7 days,4.1,524
Di - Di,19 августа 2024,Все понравилось! В номере чисто постоянно!,5,7 days,4.1,524
Olya .,4 августа 2024,"Уютный,тихий,чистый отель. Приемлемые цены!Есть парковка 👍",5,7 days,4.1,524
Brodyaga Shevchenko,14 июля 2024,Хорошое качеств,4,7 days,4.1,524
Айгуль Сандыбаева,"4 июля 2024, отредактирован",Всё супер классное заведение,5,7 days,4.1,524
Шогик Литвинова,1 июля 2024,"Были с друзьями, чисто уютно, персонал приветливый.",4,7 days,4.1,524
Александр. Ш,"18 июня 2024, отредактирован","В целом, я остался очень доволен своим пребыванием и обязательно вернусь сюда снова. Рекомендую эту гостиницу всем, кто ищет комфортное и гостеприимное место для отдыха.",5,7 days,4.1,524
Sabrina Omarova,"11 июня 2024, отредактирован",Чисто и опрятно.,5,7 days,4.1,524
Selene Your Local Guide,"8 мая 2024, отредактирован","Scroll to see the review in english.
Отель 7Days - ужасное место для проживания с отвратительным сервисом. На ресепшн одна девушка была очень доброй и милой, вторая же была странной, злой и агрессивной. Румы в отеле, особенно на -1 этаже, были ужасными. Комнаты в плачевном состоянии - шпаклевка отваливается со стен, всюду пахнет сыростью. Возможно, номера VIP-класса лучше, но эконом и стандартные номера оставляют желать лучшего. Отсутствует нормальное освещение, окна выходят на стену соседнего здания. На завтраке я обнаружил таракан на столе.

This hotel was an absolute nightmare with appalling service. One receptionist was kind and friendly, while the other was strange, aggressive, and unfriendly. The rooms in the hotel, especially on the basement floor (-1), were dreadful. The state of the rooms was terrible, with peeling plaster from the walls and a pervasive damp smell. Perhaps the VIP rooms are better, but the economy and standard rooms were awful. There was a lack of adequate lighting, and the windows faced a neighboring building wall. To add to the disappointment, I found a cockroach on the breakfast table.",1,7 days,4.1,524
. .,2 мая 2024,"Были в номере люкс, по фото все хорошо, но номера убитые начиная от старого ремонта, заканчивая рваным халатом и без пояса для него, двери уже изжили себя, ели закрываются, так же попросили доплатить 5к тенге, вместе 25к(это указано везде)-взяли 30к, за такие деньги мы бы нашла отель лучше, увы, никогда сюда не вернемся",1,7 days,4.1,524
Fedor B. i,17 апреля 2024,"Уютно, очень приятный персонал который всегда идет на встречу. В общем отлично",4,7 days,4.1,524
victoria m,"25 марта 2024, отредактирован","увольте администратора
видит что не понимаем на казахском, два раза ответили на русском и переспросили, принципиально продолжает говорить на казахском
и отношение наплевательское
в номере не пробыли и пяти минут, освещения нет, плинтуса разваливаются,",1,7 days,4.1,524
Introvert Procrastinator,24 марта 2024,"Классная гостиница 👍, проживал с 20-ого по 24 марта, всё понравилось, а люкс номера вообще шикарные)))",5,7 days,4.1,524
Jyldyz Tologon kyzy,"17 января 2024, отредактирован","Аккуратно, уютно, чисто, не дорого 👍🏻",5,7 days,4.1,524
Moldir Alpyssova,26 декабря 2023,"Приехали в Алмату первый раз отдохнуть,посмотрели и забронировали этот отель.Все было «хорошо» так мы думали ,но в 5 утра проснулись от шума,смотрим на потолках бегает мыши и крысы . При том что мы были комнате «ЛЮКС».
Админстраторша ничем не помогла,можно было хотябы извинится и прокомпенсировать эту ситуацию.Управляющему вообще все равно 🤦🏼‍♀️
Это фото доказывает,что-то водиться по этому отелю",1,7 days,4.1,524
R T,22 декабря 2023,"Отдыхаем в этом отеле уже 5 раз. Подкупает очень теплая атмосфера, поэтому всегда хочется ощутить её вновь. Качество услуг на высоте. Питание номера, территория, все прекрасно.",5,7 days,4.1,524
Бексултан Аттакуров,"15 декабря 2023, отредактирован",Персонал ужасный и😒и постельное белье не меняное,1,7 days,4.1,524
Сергей Ни,"14 декабря 2023, отредактирован",Все в лучшем виде,5,7 days,4.1,524
Аманжол Сарсенбаев,29 ноября 2023,отличный отель,5,7 days,4.1,524
Андрей Барнаульский,"16 октября 2023, отредактирован","Всем доброго дня.
Не был не разу в Алматы, решил посетить.
Забронировал эту гостиницу, что могу сказать - больше 2 звезд не дал бы. На 5 не тянет, а две снимаю за:
1) Грязный туалет - неужели нельзя почистить. Вешалка для полотенца сломано, все поломано и усталое.
2) Лютый сквозняк из окна, вы его отрегулируйте его нормально не возможно закрыть с него сильно дует и холодно. Такое ощущение что вам все равно.
3) Еще бы снял звезду, но момент не критичный… ни посуды ни стаканов ни воды, один чайник стоит и все. Воду только продают с низу, те же другие гостиницы такого же уровня либо ставят куллер либо ставят воду в номер. Так же в номере запашок какой то плесени толи стоял, толи какими то носками от пола - как будто мыли вонючей тряпкой, которую не меняют.
4) Пульты еле рабочие, кнопки не включаются толком - надо давить.
5) Завтрак, ну не рассчитывайте на шведский стол тут его нет, каша и немного на раздатке колбасы и сыра с овощами.

Я торопился и сильно не изучил гостиницы, в Астане за теже деньги жил в гостинице в разы лучше, чище, приятней, все было целое и завтрак более менее нормальный.

Если бы номер был бы починен, наверно такого осадка бы не осталось.",2,7 days,4.1,524
Sindi Amrenova,"11 октября 2023, отредактирован","Не было мест, только по брони можно заехать.номера были только люксы от 25000 тнг, за проживание до 12- дня.",3,7 days,4.1,524
Ramazan Rakhmanov,24 сентября 2023,"Отлично все,чисто главное было. Перед заездом посмотреть номер дали, быстро заселили. Цена приемлемая. Рекомендую",5,7 days,4.1,524
Городской Охотник,"23 сентября 2023, отредактирован","Маленькие номера, завтрак скудный. В остальном норм. На пару раз подругу привезти на ночь пойдет. Чисто уютно",4,7 days,4.1,524
Ксения Ким,9 сентября 2023,"Отличная гостиница! Очень вежливый, приветливый, внимательный и заботливый персонал! В номере чисто, по утрам влажная уборка. Мы очень довольны! Будем теперь останавливаться только в 7days. Рекомендую!",5,7 days,4.1,524
Арсен Ашимбаев,1 сентября 2023,Люкс люкс люкс,5,7 days,4.1,524
AppuBa AppuBa,8 августа 2023,Отличный отель. Супер номера и просто великолепный сервис!,5,7 days,4.1,524
Вета Мурзина,3 августа 2023,"Здравствуйте.Заехала сегодня в первые, но мне все очень понравилось
Я заехала в номер эконом на цокольном этаже. При бронировании администраторы сразу предупредили, что этаж цокольный. Всегда быстро отвечают.
Это место оправдало все ожидания. Очень чисто, комфортный номер и приятный персонал. Фото полностью соответствуют действительности. Приятно, когда люди относятся к своему делу с отдачей и ответственностью.

Я сама работаю в сервисе туризма,но в Боровом, и хочу сказать здешний номер эконом и условия, напоминают как улучшенные номера гостинец и отелей Борового.
Всем буду рекомендовать данное место и конечно в следующий раз приеду ещё сюда.",5,7 days,4.1,524
Дастан ))),28 июля 2023,"Барлығы жақсы!
Өзіме жағдайы да қыздардың жұмыс істегені де ұнады,
Темекі жегілмейтін нөмер болғаны жақсы екен.
Баламен болғанда өте ыңғайлы әрі иісі болмағандығы жақсы
Таңғы ас үйдегідей.
Өзім Ақтаудан келген қонақ едім, келесі келгенде тағыда келем.
Баріне рахмет бәрі қатты ұнады.",5,7 days,4.1,524
Ермахан Ермахан,28 июля 2023,"Супер гостиница не в первый раз бываю. Всегда на высший класс обслуживание. Всегда в любое время на позвони работают то что даже удобно бывает погуляешь и хочешь просто поспать и всегда трубки берут и выход находят заселяют. Девочки огонь на ресепшене и зарядку дадут и все что нужно без разговору принесут. Мне понравилась услуга прачечной, как та раз приехал замотала после дороги весь грязный так мне и помыли и высушили. И расположение удобное тихое. Людям не угодишь читаю и ахреневаю езжайте в гостинице за 50к. А так за свою сумму расположение супер гостиница..",5,7 days,4.1,524
D Hs,27 июля 2023,"За 20к в сутки, не соответствует. Как зашла в эту оранжевую комнату, с ремонтом начала 2000х, уткнулась лицом в отклеянные обои в 'молдинге'. Откосы на окнах крошатся, ""ультра модный"" оранжевый натяжной потолок весь забрызган. В ремонт не вкладываются, все очень устаревшее. По чистоте 4ка, визуально сносно. Завтрак-упаси боже, как только зашла в их 'кафе' напротив ресепшена, меня вывернуло от одного запаха. Ничего съесть кроме куска хлеба и черного чая не смогла. Т.е. завтрак как комплимент, и то такой лучше не давать, дабы людей около входа не тошнило. Это на чем нужно жарить и при каких условиях, чтобы пахло ТАК. Девушка с ресепшена раскуривает электронные сигареты. Гостиница на 3/5.",2,7 days,4.1,524
Не указано,5 марта 2024,"Выражаем благодарность персоналу гостиницы. Хочется отметить, что все очень доброжелательные и вежливые, потому создается атмосфера хорошего отдыха и отличного настроения. Мы уже дважды здесь побывали, надеемся приехать еще! Огромное спасибо всем!",5,Mountain View Boutique Hotel,4.3,531
FEDOR FEDOR,25 апреля 2025,"Номера маленькие, не убирают, с горячей водой проблемы.",1,Mountain View Boutique Hotel,4.3,531
Symbat Kenes,"18 апреля 2025, отредактирован","Всегда чисто, завтраки вкусные) персонал 👍🏻",5,Mountain View Boutique Hotel,4.3,531
Нурбол Карабек,16 апреля 2025,Жақсы қонақ үй ұнады,5,Mountain View Boutique Hotel,4.3,531
Айгуль Кусаинова,9 апреля 2025,"Хорошая гостиница, персонал вежливые, номера чистые правда тесновата но очень чистые, завтраки вкусные❤️👍",5,Mountain View Boutique Hotel,4.3,531
Кирилл Огай,9 апреля 2025,"Выражаем благодарность персоналу гостиницы. Отличное место для отдыха, обслуживание хорошое, вежливый доброжелательный персонал, вкусные завтраки, еще с семье к вам вернемся
Приехали с другого города.",5,Mountain View Boutique Hotel,4.3,531
Sh Sh,9 апреля 2025,"Вчера хотели заселиться, однако дали не убранный номер (204 или чей то номер), после замечания поменяли на номер 206. При этом не было горячей воды. Кассовый аппарат не работает, не могли выдать чек. Настоятельно Не рекомендую",1,Mountain View Boutique Hotel,4.3,531
Argun,25 марта 2025,"Ужасный отель, админша очень неприятная женщина, орущая на клиентов, вода как горная ледяная даже моржу холодно было, завтрака нет нормального, чай чашка. Цены космические, отзывы, видимо, сами написали использовав ИИ Chat Gpt. Вообще не советую. За такие деньги можно в разы лучше снять...",1,Mountain View Boutique Hotel,4.3,531
Entw Oweur,"25 марта 2025, отредактирован","Вода ледяная, в ванной пахнет сыростью, админ грубая, необоснованно дорого",1,Mountain View Boutique Hotel,4.3,531
маратик .,"19 марта 2025, отредактирован",Шикарно все понравилось особенно обслуживание,5,Mountain View Boutique Hotel,4.3,531
Zere Zhazybek,19 марта 2025,Керемет,5,Mountain View Boutique Hotel,4.3,531
Жанна Омирхан,3 февраля 2025,"остановилась тут на одну ночь с ребенком. заселились в час ночи. был выбор между номерами на первом этаже , и на третьем. так как нет лифта , а по лестнице тяжело подниматься с ребенком , и нашими вещами , я попросила дать нам номер на первом.
так вот , выдали 101 номер. абсолютно все слышно. всю ночь за окном мужики толпились и шумели. я открыла окно, попросила отойти подальше , так как время позднее, + малыш спит. они все равно продолжали шуметь. абсолютно все слышно. кого заселяют , кого выселяют. всю ночь не могла уснуть",1,Mountain View Boutique Hotel,4.3,531
